Real,Imag
8.28585,12.0973
9.70317,11.2712
11.0167,10.2864
12.2089,9.15567
13.2637,7.89389
14.1668,6.51768
14.906,5.04515
15.4713,3.49574
15.8549,1.8899
16.0515,0.248876
16.058,-1.40562
15.8741,-3.05168
15.502,-4.66746
14.9462,-6.23153
14.2139,-7.72308
13.3144,-9.12229
12.2594,-10.4105
11.0625,-11.5705
9.73939,-12.5869
8.30732,-13.4459
6.78501,-14.136
5.19243,-14.648
3.55046,-14.9747
1.88067,-15.1117
0.205036,-15.057
-1.4544,-14.811
-3.07576,-14.3768
-4.63767,-13.7599
-6.11953,-12.9683
-7.50175,-12.0122
-8.76606,-10.9042
-9.89574,-9.65857
-10.8758,-8.29177
-11.6933,-6.82169
-12.3374,-5.26766
-12.7994,-3.6501
-13.0733,-1.99033
-13.1554,-0.310211
-13.0444,1.36808
-12.7419,3.02239
-12.2517,4.63085
-11.5803,6.1722
-10.7366,7.62602
-9.73164,8.97307
-8.57874,10.1955
-7.29314,11.277
-5.89185,12.2033
-4.39343,12.962
-2.81777,13.5431
-1.18575,13.9386
0.480948,14.1434
2.16017,14.1546
3.82959,13.9719
5.46697,13.5978
7.05051,13.037
8.55906,12.2969
9.97249,11.3873
11.2719,10.3201
12.4398,9.10935
13.4606,7.77116
14.3205,6.32317
15.0078,4.78457
15.5132,3.17576
15.8298,1.51807
15.9531,-0.166476
15.8811,-1.85549
15.6146,-3.5265
15.1568,-5.15725
14.5135,-6.726
13.6929,-8.21179
12.7058,-9.59477
11.5648,-10.8564
10.2849,-11.9797
8.88286,-12.9497
7.377,-13.7531
5.7871,-14.3791
4.13406,-14.8191
2.43963,-15.067
0.72614,-15.1191
-0.983813,-14.9746
-2.66765,-14.6349
-4.30312,-14.1043
-5.8686,-13.3895
-7.34334,-12.4997
-8.7078,-11.4464
-9.94387,-10.2431
-11.0351,-8.90568
-11.9671,-7.45147
-12.7272,-5.89952
-13.3054,-4.27015
-13.6939,-2.58473
-13.8874,-0.865399
-13.8833,0.865242
-13.6814,2.58442
-13.2843,4.2695
-12.6971,5.89827
-11.9274,7.44925
-10.9854,8.90195
-9.88335,10.2372
-8.63577,11.4373
-7.25908,12.4865
-5.77144,13.3707
-4.19247,14.0783
-2.54304,14.6
-0.844954,14.9287
0.879307,15.06
2.6069,14.9922
4.31493,14.7262
5.98072,14.2653
7.58214,13.6158
9.09791,12.7861
10.5078,11.7872
11.7931,10.6324
12.9367,9.33682
13.9231,7.91778
14.7392,6.39406
15.374,4.78589
15.8189,3.11464
16.0678,1.40253
16.1173,-0.327662
15.9665,-2.05288
15.6171,-3.75012
15.0736,-5.39673
14.3431,-6.9707
13.4349,-8.45097
12.3611,-9.81769
11.1356,-11.0525
9.77448,-12.1388
8.29574,-13.0618
6.71881,-13.8091
5.06449,-14.3704
3.35464,-14.738
1.61185,-14.9066
-0.140801,-14.8737
-1.8801,-14.6393
-3.58298,-14.2063
-5.22683,-13.58
-6.7898,-12.7684
-8.25109,-11.7819
-9.59122,-10.6332
-10.7923,-9.33718
-11.8382,-7.91082
-12.715,-6.37267
-13.4108,-4.74286
-13.9162,-3.04272
-14.2243,-1.29455
-14.3308,0.478684
-14.234,2.25368
-13.935,4.00709
-13.4374,5.7158
-12.7477,7.35731
-11.8747,8.90994
-10.8298,10.3532
-9.62662,11.668
-8.28082,12.837
-6.81005,13.8447
-5.23363,14.6777
-3.57226,15.325
-1.8478,15.7779
-0.0829747,16.0305
1.69896,16.0792
3.47447,15.9236
5.22013,15.5654
6.91284,15.0094
8.5302,14.263
10.0508,13.3359
11.4545,12.2404
12.7226,10.991
13.8384,9.60421
14.7868,8.0984
15.5554,6.49353
16.1339,4.81089
16.5144,3.07283
16.6918,1.30244
16.6637,-0.476736
16.4303,-2.24101
15.9946,-3.96686
15.3623,-5.63128
14.5416,-7.21203
13.5433,-8.68796
12.3805,-10.0393
11.0687,-11.2479
9.62504,-12.2975
8.06871,-13.1739
6.42027,-13.8652
4.70159,-14.362
2.93544,-14.6573
1.14529,-14.747
-0.645085,-14.6295
-2.41186,-14.306
-4.13149,-13.7806
-5.78107,-13.0598
-7.33855,-12.1529
-8.7831,-11.0716
-10.0954,-9.82996
-11.2577,-8.44414
-12.2545,-6.93225
-13.0723,-5.31406
-13.6998,-3.6108
-14.1285,-1.84484
-14.3525,-0.0393974
-14.3683,1.78176
-14.1755,3.59464
-13.7763,5.37531
-13.1756,7.10026
-12.381,8.7467
-11.4028,10.2928
-10.2536,11.7182
-8.94834,13.0038
-7.50395,14.1327
-5.93933,15.0898
-4.27493,15.8623
-2.53257,16.44
-0.735091,16.815
1.09388,16.9824
2.93031,16.9396
4.75,16.6873
6.529,16.2285
8.24384,15.5693
9.8719,14.7182
11.3917,13.6864
12.783,12.4875
14.0276,11.1372
15.1089,9.65334
16.0126,8.0555
16.7267,6.36479
17.2417,4.60359
17.5507,2.7952
17.6495,0.963585
17.5369,-0.866951
17.2142,-2.67211
16.6856,-4.4279
15.9581,-6.11096
15.0413,-7.69888
13.9473,-9.17047
12.6905,-10.5061
11.2876,-11.6878
9.75714,-12.6999
8.11946,-13.5286
6.39629,-14.1627
4.61051,-14.5937
2.78586,-14.8156
0.946639,-14.8251
-0.882659,-14.6219
-2.67764,-14.2085
-4.41433,-13.59
-6.06951,-12.7744
-7.62102,-11.7723
-9.04804,-10.5967
-10.3314,-9.26297
-11.4538,-7.78864
-12.3999,-6.19303
-13.1571,-4.49713
-13.7148,-2.72328
-14.0654,-0.894853
-14.2037,0.963993
-14.1276,2.82869
-13.8377,4.67457
-13.3375,6.47717
-12.6332,8.2126
-11.7338,9.8578
-10.6508,11.3909
-9.39811,12.7915
-7.99212,14.0409
-6.45107,15.1224
-4.79507,16.0215
-3.04576,16.7262
-1.22605,17.2268
0.640198,17.5166
2.52848,17.5914
4.41398,17.4501
6.2719,17.0943
8.07775,16.5284
9.80774,15.7598
11.439,14.7984
12.9501,13.6566
14.321,12.3495
15.5335,10.8942
16.5717,9.30963
17.4216,7.61676
18.0722,5.83783
18.5146,3.99628
18.743,2.11642
18.7543,0.223062
18.5483,-1.65876
18.1276,-3.50416
17.4978,-5.28868
16.6672,-6.98867
15.6466,-8.58156
14.4496,-10.0462
13.092,-11.3631
11.5918,-12.5147
9.96883,-13.4856
8.24464,-14.2628
6.44212,-14.8359
4.58521,-15.1972
2.6986,-15.3416
0.807404,-15.2671
-1.06318,-14.9745
-2.8882,-14.4675
-4.64329,-13.7526
-6.30497,-12.8393
-7.85099,-11.7393
-9.26059,-10.4672
-10.5148,-9.03963
-11.5967,-7.47548
-12.4917,-5.79536
-13.1875,-4.02146
-13.6746,-2.17725
-13.9461,-0.287155
-13.9981,1.62377
-13.8295,3.53016
-13.4421,5.40669
-12.8408,7.2284
-12.0331,8.97103
-11.0293,10.6113
-9.84237,12.1274
-8.48773,13.4989
-6.98298,14.7074
-5.34774,15.7368
-3.60339,16.573
-1.77278,17.2048
0.120075,17.6234
2.05031,17.823
3.99255,17.8005
5.9212,17.5561
7.81085,17.0925
9.63657,16.4156
11.3742,15.534
13.0009,14.4591
14.495,13.2048
15.8367,11.7874
17.0083,10.2254
17.9942,8.53923
18.7812,6.751
19.3588,4.88417
19.7193,2.96325
19.8578,1.01352
19.7724,-0.93935
19.464,-2.86961
18.9367,-4.75178
18.1972,-6.56101
17.2553,-8.27337
16.1234,-9.86621
14.8163,-11.3184
13.3513,-12.6107
11.7477,-13.726
10.0268,-14.6494
8.21122,-15.3685
6.32512,-15.8738
4.39346,-16.1586
2.44191,-16.2188
0.49637,-16.0536
-1.41727,-15.6651
-3.27353,-15.0582
-5.04767,-14.241
-6.71601,-13.2242
-8.25624,-12.0211
-9.64773,-10.6476
-10.8718,-9.12181
-11.9119,-7.46398
-12.7541,-5.69603
-13.3869,-3.84138
-13.8015,-1.92464
-13.9921,0.0287258
-13.956,1.99276
-13.6932,3.94131
-13.2069,5.84843
-12.5033,7.68865
-11.5912,9.43741
-10.4826,11.0713
-9.19168,12.5684
-7.7354,13.9086
-6.13275,15.0738
-4.40472,16.0483
-2.57399,16.8188
-0.664628,17.3747
1.29824,17.7083
3.28875,17.8148
5.28063,17.6923
7.24756,17.3421
9.16354,16.7685
11.0032,15.9785
12.7421,14.9824
14.3573,13.7928
15.8272,12.4253
17.1323,10.8975
18.2551,9.22939
19.1806,7.4427
19.8965,5.56083
20.393,3.60845
20.6635,1.61117
20.704,-0.404768
20.5138,-2.41283
20.0954,-4.38659
19.4539,-6.3
18.5977,-8.12784
17.5379,-9.84595
16.2884,-11.4316
14.8655,-12.8639
13.288,-14.1237
11.5766,-15.1944
9.75372,-16.0618
7.84356,-16.7142
5.8713,-17.1431
3.86302,-17.3425
1.84529,-17.3098
-0.155144,-17.0453
-2.11176,-16.5525
-3.99857,-15.8377
-5.79049,-14.9103
-7.46368,-13.7825
-8.99582,-12.4693
-10.3665,-10.9879
-11.5573,-9.35793
-12.5522,-7.60101
-13.3379,-5.74041
-13.9038,-3.8008
-14.242,-1.80795
-14.3479,0.211643
-14.2197,2.23111
-13.859,4.22354
-13.2702,6.16236
-12.4608,8.02167
-11.4414,9.7766
-10.2252,11.4036
-8.82815,12.8809
-7.2685,14.1885
-5.56675,15.3089
-3.74528,16.2267
-1.82811,16.9294
0.159475,17.4074
2.19122,17.6539
4.24024,17.6652
6.2794,17.4407
8.28167,16.983
10.2205,16.2977
12.07,15.3935
13.8057,14.2819
15.4044,12.9774
16.8447,11.4967
18.1074,9.85916
19.1754,8.08612
20.0345,6.20074
20.673,4.22771
21.082,2.19291
21.256,0.123063
21.1922,-1.95462
20.8913,-4.01278
20.3568,-6.0243
19.5957,-7.96262
18.6175,-9.80216
17.4351,-11.5186
16.0638,-13.0892
14.5215,-14.4931
12.8283,-15.7118
11.0065,-16.729
9.08001,-17.5311
7.07414,-18.1075
5.01532,-18.4504
2.9307,-18.5551
0.847804,-18.4201
-1.20584,-18.0472
-3.20307,-17.441
-5.11743,-16.6095
-6.92354,-15.5636
-8.59741,-14.3171
-10.1168,-12.8863
-11.4615,-11.2901
-12.6135,-9.54968
-13.5574,-7.68801
-14.2806,-5.72973
-14.7733,-3.70082
-15.0288,-1.6282
-15.0435,0.460604
-14.8169,2.5378
-14.352,4.57574
-13.6547,6.54725
-12.734,8.42601
-11.6019,10.1869
-10.2732,11.8064
-8.76548,13.2626
-7.09848,14.536
